enabled	site	subject	session	subject_vol	subject_mask	notes
1	site-amu	sub-032213	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/rawdata/site-amu/sub-032213/ses-001/anat/sub-032213_ses-001_run-1_T1w.nii.gz		Edit subject_vol/subject_mask here if a brain-extracted input exists
1	site-bordeaux	sub-m01	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/rawdata/site-bordeaux/sub-m01/ses-001/anat/sub-m01_ses-001_T1w.nii.gz		Edit subject_vol/subject_mask here if a brain-extracted input exists
1	site-ecnu	sub-032209	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/rawdata/site-ecnu/sub-032209/ses-001/anat/sub-032209_ses-001_run-1_T1w.nii.gz		Edit subject_vol/subject_mask here if a brain-extracted input exists
1	site-ecnu-chen	sub-032279	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/rawdata/site-ecnu-chen/sub-032279/ses-001/anat/sub-032279_ses-001_run-1_T1w.nii.gz		Edit subject_vol/subject_mask here if a brain-extracted input exists
1	site-ion	sub-032198	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/rawdata/site-ion/sub-032198/ses-001/anat/sub-032198_ses-001_qcq-SiemensTimTrioAC88_run-1_T1w.nii.gz		Edit subject_vol/subject_mask here if a brain-extracted input exists
1	site-iscmj	sub-032312	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/rawdata/site-iscmj/sub-032312/ses-001/anat/sub-032312_ses-001_rec-mean_T1w.nii.gz		Edit subject_vol/subject_mask here if a brain-extracted input exists
1	site-lyon	sub-032275	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/rawdata/site-lyon/sub-032275/ses-001/anat/sub-032275_ses-001_run-1_T1w.nii.gz		Edit subject_vol/subject_mask here if a brain-extracted input exists
1	site-mcgill	sub-032206	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/rawdata/site-mcgill/sub-032206/ses-001/anat/sub-032206_ses-001_acq-mprage_run_1_T1w.nii.gz		Edit subject_vol/subject_mask here if a brain-extracted input exists
1	site-mountsinai-P	sub-032146	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/rawdata/site-mountsinai-P/sub-032146/ses-001/anat/sub-032146_ses-001_run-1_T1w.nii.gz		Edit subject_vol/subject_mask here if a brain-extracted input exists
1	site-mountsinai-S	sub-032155	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/rawdata/site-mountsinai-S/sub-032155/ses-001/anat/sub-032155_ses-001_acq-mp2rage_acq-uni_run-1_T1w.nii.gz		Edit subject_vol/subject_mask here if a brain-extracted input exists
1	site-newcastle	sub-032097	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/rawdata/site-newcastle/sub-032097/ses-001/anat/sub-032097_ses-001_run-1_T1w.nii.gz		Edit subject_vol/subject_mask here if a brain-extracted input exists
1	site-nin	sub-032222	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/rawdata/site-nin/sub-032222/ses-001/anat/sub-032222_ses-001_run_1_T1w.nii.gz		Edit subject_vol/subject_mask here if a brain-extracted input exists
1	site-nki	sub-032145	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/rawdata/site-nki/sub-032145/ses-001/anat/sub-032145_ses-001_run_1_T1w.nii.gz		Edit subject_vol/subject_mask here if a brain-extracted input exists
1	site-ohsu	sub-032217	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/rawdata/site-ohsu/sub-032217/ses-001/anat/sub-032217_ses-001_run-1_T1w.nii.gz		Edit subject_vol/subject_mask here if a brain-extracted input exists
1	site-oxford	sub-032163	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/rawdata/site-oxford/sub-032163/ses-001/anat/sub-032163_ses-001_run-1_T1w.nii.gz		Edit subject_vol/subject_mask here if a brain-extracted input exists
1	site-princeton	sub-032144	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/rawdata/site-princeton/sub-032144/ses-001/anat/sub-032144_ses-001_run-1_T1w.nii.gz		Edit subject_vol/subject_mask here if a brain-extracted input exists
1	site-rochester	sub-1234570	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/rawdata/site-rochester/sub-1234570/ses-001/anat/sub-1234570_ses-001_T1w.nii.gz		Edit subject_vol/subject_mask here if a brain-extracted input exists
1	site-rockefeller	sub-032116	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/rawdata/site-rockefeller/sub-032116/ses-001/anat/sub-032116_ses-001_run-1_T1w.nii.gz		Edit subject_vol/subject_mask here if a brain-extracted input exists
1	site-sbri	sub-032290	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/rawdata/site-sbri/sub-032290/ses-001/anat/sub-032290_ses-001_run-1_T1w.nii.gz		Edit subject_vol/subject_mask here if a brain-extracted input exists
1	site-ucdavis	sub-032125	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/rawdata/site-ucdavis/sub-032125/ses-001/anat/sub-032125_ses-001_run-1_T1w.nii.gz		Edit subject_vol/subject_mask here if a brain-extracted input exists
1	site-uminn	sub-032122	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/rawdata/site-uminn/sub-032122/ses-001/anat/sub-032122_ses-001_run-1_T1w.nii.gz		Edit subject_vol/subject_mask here if a brain-extracted input exists
1	site-uwmadison	sub-1001	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/rawdata/site-uwmadison/sub-1001/ses-001/anat/sub-1001_ses-001_T1w.nii.gz		Edit subject_vol/subject_mask here if a brain-extracted input exists
1	site-uwo	sub-032186	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/rawdata/site-uwo/sub-032186/ses-001/anat/sub-032186_ses-001_acq-mp2rage_run-1_T1w.nii.gz		Edit subject_vol/subject_mask here if a brain-extracted input exists
