enabled	site	subject	session	subject_vol	subject_mask	notes
1	site-amu	sub-032213	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-amu/sub-032213/ses-001/Prepare/T1w_brain.nii.gz	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-amu/sub-032213/ses-001/Prepare/T1w_brainmask.nii.gz	Skull-stripped PRIME-DE Prepare output
1	site-bordeaux	sub-m01	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-bordeaux/sub-m01/ses-001/Prepare/T1w_brain.nii.gz	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-bordeaux/sub-m01/ses-001/Prepare/T1w_brainmask.nii.gz	Skull-stripped PRIME-DE Prepare output
1	site-ecnu	sub-032209	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-ecnu/sub-032209/ses-001/Prepare/T1w_brain.nii.gz	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-ecnu/sub-032209/ses-001/Prepare/T1w_brainmask.nii.gz	Skull-stripped PRIME-DE Prepare output
1	site-ecnu-chen	sub-032279	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-ecnu-chen/sub-032279/ses-001/Prepare/T1w_brain.nii.gz	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-ecnu-chen/sub-032279/ses-001/Prepare/T1w_brainmask.nii.gz	Skull-stripped PRIME-DE Prepare output
1	site-ion	sub-032198	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-ion/sub-032198/ses-001/Prepare/T1w_brain.nii.gz	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-ion/sub-032198/ses-001/Prepare/T1w_brainmask.nii.gz	Skull-stripped PRIME-DE Prepare output
1	site-iscmj	sub-032312	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-iscmj/sub-032312/ses-001/Prepare/T1w_brain.nii.gz	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-iscmj/sub-032312/ses-001/Prepare/T1w_brainmask.nii.gz	Skull-stripped PRIME-DE Prepare output
1	site-lyon	sub-032275	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-lyon/sub-032275/ses-001/Prepare/T1w_brain.nii.gz	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-lyon/sub-032275/ses-001/Prepare/T1w_brainmask.nii.gz	Skull-stripped PRIME-DE Prepare output
1	site-mcgill	sub-032206	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-mcgill/sub-032206/ses-001/Prepare/T1w_brain.nii.gz	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-mcgill/sub-032206/ses-001/Prepare/T1w_brainmask.nii.gz	Skull-stripped PRIME-DE Prepare output
1	site-mountsinai-P	sub-032146	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-mountsinai-P/sub-032146/ses-001/Prepare/T1w_brain.nii.gz	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-mountsinai-P/sub-032146/ses-001/Prepare/T1w_brainmask.nii.gz	Skull-stripped PRIME-DE Prepare output
1	site-mountsinai-S	sub-032155	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-mountsinai-S/sub-032155/ses-001/Prepare/T1w_brain.nii.gz	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-mountsinai-S/sub-032155/ses-001/Prepare/T1w_brainmask.nii.gz	Skull-stripped PRIME-DE Prepare output
1	site-newcastle	sub-032097	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-newcastle/sub-032097/ses-001/Prepare/T1w_brain.nii.gz	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-newcastle/sub-032097/ses-001/Prepare/T1w_brainmask.nii.gz	Skull-stripped PRIME-DE Prepare output
1	site-nin	sub-032222	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-nin/sub-032222/ses-001/Prepare/T1w_brain.nii.gz	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-nin/sub-032222/ses-001/Prepare/T1w_brainmask.nii.gz	Skull-stripped PRIME-DE Prepare output
1	site-nki	sub-032144	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-nki/sub-032144/ses-001/Prepare/T1w_brain.nii.gz	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-nki/sub-032144/ses-001/Prepare/T1w_brainmask.nii.gz	Skull-stripped PRIME-DE Prepare output
1	site-ohsu	sub-032217	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-ohsu/sub-032217/ses-001/Prepare/T1w_brain.nii.gz	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-ohsu/sub-032217/ses-001/Prepare/T1w_brainmask.nii.gz	Skull-stripped PRIME-DE Prepare output
1	site-oxford	sub-032163	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-oxford/sub-032163/ses-001/Prepare/T1w_brain.nii.gz	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-oxford/sub-032163/ses-001/Prepare/T1w_brainmask.nii.gz	Skull-stripped PRIME-DE Prepare output
1	site-princeton	sub-032144	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-princeton/sub-032144/ses-001/Prepare/T1w_brain.nii.gz	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-princeton/sub-032144/ses-001/Prepare/T1w_brainmask.nii.gz	Skull-stripped PRIME-DE Prepare output
1	site-rochester	sub-1234570	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-rochester/sub-1234570/ses-001/Prepare/T1w_brain.nii.gz	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-rochester/sub-1234570/ses-001/Prepare/T1w_brainmask.nii.gz	Skull-stripped PRIME-DE Prepare output
1	site-rockefeller	sub-032116	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-rockefeller/sub-032116/ses-001/Prepare/T1w_brain.nii.gz	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-rockefeller/sub-032116/ses-001/Prepare/T1w_brainmask.nii.gz	Skull-stripped PRIME-DE Prepare output
1	site-sbri	sub-032290	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-sbri/sub-032290/ses-001/Prepare/T1w_brain.nii.gz	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-sbri/sub-032290/ses-001/Prepare/T1w_brainmask.nii.gz	Skull-stripped PRIME-DE Prepare output
1	site-ucdavis	sub-032125	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-ucdavis/sub-032125/ses-001/Prepare/T1w_brain.nii.gz	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-ucdavis/sub-032125/ses-001/Prepare/T1w_brainmask.nii.gz	Skull-stripped PRIME-DE Prepare output
1	site-uminn	sub-032122	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-uminn/sub-032122/ses-001/Prepare/T1w_brain.nii.gz	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-uminn/sub-032122/ses-001/Prepare/T1w_brainmask.nii.gz	Skull-stripped PRIME-DE Prepare output
1	site-uwmadison	sub-1001	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-uwmadison/sub-1001/ses-001/Prepare/T1w_brain.nii.gz	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-uwmadison/sub-1001/ses-001/Prepare/T1w_brainmask.nii.gz	Skull-stripped PRIME-DE Prepare output
1	site-uwo	sub-032186	ses-001	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-uwo/sub-032186/ses-001/Prepare/T1w_brain.nii.gz	/home/weiyahui/projects/Monkey_Surface/datasets_v3.0/PRIME-DE/output/site-uwo/sub-032186/ses-001/Prepare/T1w_brainmask.nii.gz	Skull-stripped PRIME-DE Prepare output
